0,1070.224
1,410.696
2,536.444
3,452.303
4,730.552
5,455.149
6,1498.669
7,460.172
8,608.403
9,1768.069
10,779.038
11,1223.785
12,2508.359
13,315.221
14,253.051
15,269.165
16,1499.364
17,644.965
18,1033.332
19,911.252
20,407.955
21,343.752
22,238.252
23,310.159
24,158.668
25,1017.248
26,350.966
27,918.518
28,81.552
29,599.229
30,466.489
31,970.103
32,435.601
33,920.155
34,314.018
35,484.651
36,443.628
37,229.515
38,292.306
39,623.075
40,504.25
41,1931.751
42,227.455
43,2745.229
44,145.211
45,534.863
46,708.651
47,579.06
48,72.681
49,445.149
50,836.816
51,649.038
52,207.808
53,560.466
54,295.158
55,102.26
56,907.228
57,60.069
58,524.006
59,629.68
